backImage,leftTalkingChara,leftHighlight,rightTalkingChara,rightHighlight,centerTalkingChara,centerHighlight,name,talks,BGM
彼氏宅,,,,,,,,──彼氏宅──,BGM_story02
彼氏宅,story_character02,1,story_character03,,,,友人,「ねえ……彼氏君」,0
彼氏宅,story_character02,,story_character03,1,,,彼氏,「なに？」,0
彼氏宅,story_character02,1,story_character03,,,,友人,「最近何かあった？」,0
彼氏宅,story_character02,,story_character03,1,,,彼氏,「別に何もないけど？」,0
彼氏宅,story_character02,1,story_character03,,,,友人,「そういえばこの間女の子と出かけてたよね？」,0
彼氏宅,story_character02,,story_character03,1,,,彼氏,「あの子はただの知り合いだよ」,0
彼氏宅,story_character02,1,story_character03,,,,友人,「その割にはとても仲良さそうだけどね」,0
彼氏宅,story_character02,,story_character03,1,,,彼氏,「！？！？」,0
彼氏宅,story_character02,,story_character03,1,,,彼氏,「通りでスマホが見つからないわけだ」,0
彼氏宅,story_character01,1,story_character03,,,,主人公,「（単にスマホの管理が甘いだけじゃ……）」,0
彼氏宅,story_character02,1,story_character03,,,,友人,"「よく平気でこんなひどいことできるよね。
　浮気とかホントないわ」",0
彼氏宅,story_character02,1,story_character03,,,,友人,「そんなにその子が良いならその子と付き合えばいいじゃん！！！」,0
彼氏宅,story_character02,,story_character03,1,,,彼氏,「いや……友人ちゃんが一番だよ」,0
彼氏宅,story_character02,1,story_character03,,,,友人,「じゃあ浮気すんなよ！！！」,0
彼氏宅,story_character02,,story_character03,1,,,彼氏,「ごめん……」,0
彼氏宅,story_character02,1,story_character03,,,,友人,"「もういいよオマエ。
その子に慰めてもらえよ」",0
彼氏宅,story_character02,1,story_character03,,,,友人,「じゃあね」,0
story_background,,,,,,,,——某所——,BGM_story02
story_background,story_character01,,story_character02,1,,,友人,「あースッキリした。」,0
story_background,story_character01,1,story_character02,,,,主人公,「（迫力あったなあ……）」,0
story_background,story_character01,,story_character02,1,,,友人,「浮気が悪いってわかってるはずになんでやっちゃうんだろうね」,0
story_background,story_character01,1,story_character02,,,,主人公,「じゃあ約束通り叙〇苑ね」,0
story_background,story_character01,,story_character02,1,,,友人,「よし！勝利祝いでパーッといっちゃいますか！」,0
